services,language_code,english,indigenous_language,pronunciation
2,243,One,Yabur,
2,392,One,Koorbno,
2,265,One,Neula,
2,265,One,Neular,
2,1056,One,Pirman,
2,295,One,Nyunkal,
2,468,One,Matina,
2,196,One,Wongarra,
2,203,One,Wanggara,
2,192,One,Wanggara,
2,250,One,Kunara,
2,318,One,Wombarah,
2,261,One,Kalim,
2,1064,One,Urapon,
2,342,One,Ayat,
2,392,One,Kurunyu,
2,359,One,Wongarri,
2,1163,One,Nobin,
2,1163,One,Nyubin,
2,492,One,Wongara,
2,1154,One,Thono,
2,370,One,Warnge,
2,312,One,Yabar,
2,204,One,Wongara,
2,345,One,Ingomar,
2,1112,One,Netat,
2,357,One,Tualna,
2,284,One,Whychen,
2,993,One,Yunggul,
2,388,One,Ngururu,
2,1106,One,Pim,
2,780,One,Wan,
2,323,One,Ganar,
2,1049,One,Ngipima,
2,260,One,Kumbe,
2,338,One,Ooroo,
2,477,One,Watjuwarli,
2,1141,One,Thonan,
2,291,One,Wadyin,
2,285,One,Warba,
2,470,One,Kurnu,
2,616,One,Aalkula,
2,298,One,Warba,
2,980,One,Guman,
2,289,One,Wadyin,
2,1158,One,Yirr,
2,248,One,Yabru,
2,301,One,Kunnar,
2,255,One,Kunnar,
2,1191,One,Milan,
2,1155,Two,Udhima,
2,281,Two,Bularu,
2,275,Two,Booli,
2,498,Two,Bularu,
2,193,Two,Boolul,
2,290,Two,Bularu,
2,290,Two,Bularu,
2,1089,Two,Yugga,
2,1089,Two,Yekka,
2,263,Two,Bula,
2,279,Two,Bullari,
2,252,Two,Biyaiyu,
2,182,Two,Bularr,
2,362,Two,Giyarrngga,
2,618,Two,Kujarra,
2,277,Two,Boolaru,
2,201,Two,Bula,
2,243,Two,Bulah,
2,392,Two,Orra,
2,265,Two,Boola,
2,265,Two,Boolar,
2,1056,Two,Ilabiu,
2,295,Two,Bulari,
2,468,Two,Barcoola,
2,196,Two,Bularu,
2,203,Two,Bulardi,
2,192,Two,Balardii,
2,250,Two,Boodla,
2,318,Two,Bular,
2,261,Two,Bula,
2,1064,Two,Ukusar,
2,342,Two,Lyuati,
2,392,Two,Wurra,
2,359,Two,Kurbayia,
2,1163,Two,Mummera,
2,1163,Two,Jambul,
2,492,Two,Muta,
2,1154,Two,Kuthirr,
2,370,Two,Kiyan,
2,312,Two,Bula,
2,204,Two,Bullardoo,
2,345,Two,Blagura,
2,1112,Two,Neis,
2,357,Two,Digana,
2,284,Two,Bullaroo,
2,993,Two,Yaga,
2,388,Two,Parrhkula,
2,1106,Two,Udhwith,
2,780,Two,Tu,
2,323,Two,Burla,
2,1049,Two,Udhyama,
2,260,Two,Booa,
2,338,Two,Barkoola,
2,477,Two,Parrkulu,
2,1141,Two,Kucham,
2,291,Two,Bularu,
2,285,Two,Bularu,
2,470,Two,Parrku,
2,616,Two,Kanmada,
2,298,Two,Bularu,
2,980,Two,Jamula,
2,289,Two,Bularu,
2,1158,Two,Koyrr,
2,248,Two,Bula,
2,301,Two,Budela,
2,255,Two,Budela,
2,1191,Two,Bulaarr,
2,1155,Three,Wuchama,
2,281,Three,Bularu-Warba,
2,275,Three,Koorel,
2,498,Three,Bularu Wangarra,
2,193,Three,Boolul-bardja,
2,290,Three,Gudbaru,
2,290,Three,Gulbara,
2,1089,Three,Karrbo,
2,1089,Three,Kurrboo,
2,263,Three,Bula-gaalin,
2,279,Three,Bullari-werpa,
2,252,Three,Goromba,
2,182,Three,Gulibaa,
2,362,Three,Burldamurra,
2,618,Three,Yingamali-Kujarra,
2,277,Three,Boolaru-wungara,
2,201,Three,Bula-yabul,
2,243,Three,Bulah-yabur,
2,392,Three,Koorborra,
2,265,Three,Boola-neula,
2,265,Three,Neularboolar,
2,1056,Three,Dhama,
2,295,Three,Gudbara,
2,468,Three,Barcoola matina,
2,196,Three,Bularu-wongarra,
2,203,Three,Bulardi-wanggara,
2,192,Three,Balardii-wanggara,
2,250,Three,Boodla kunara,
2,318,Three,Bular-wombarah,
2,261,Three,Bula-kalim,
2,1064,Three,Ukasar-urapon,
2,342,Three,Kurrpai,
2,392,Three,Kurrpara,
2,359,Three,Matta,
